property_id,largest_property_use_type_1,year_built,number_of_buildings,occupancy,national_median_energy_star,national_median_site_eui,national_median_source_eui,net_emissions_metric_tons,national_median_total_ghg,egrid_output_emissions_rate,multifamily_housing_gross,multifamily_housing_total,multifamily_housing_percent,multifamily_housing_percent_1,property_gfa_self_reported,property_gfa_calculated,number_of_active_energy_meters,number_of_active_it_meters,latitude,longitude,community_board,council_district,census_tract
21205224.0,25000.0,2010.0,1.0,100.0,50.0,76.1,128.1,107.5,122.7,84.5,25000.0,25.0,0.0,100.0,25000.0,34146.0,8.0,0.0,40.769272,-73.913633,401.0,22.0,6502.0
2665352.0,260780.0,1970.0,1.0,100.0,50.0,45.5,114.3,398.6,945.9,84.5,260780.0,208.0,0.0,100.0,261980.0,261980.0,6.0,0.0,40.790503,-73.96792,107.0,6.0,177.0
2665400.0,324378.0,1943.0,1.0,100.0,50.0,87.1,121.4,1323.0,1721.6,84.5,324378.0,258.0,0.0,100.0,333342.0,363092.0,3.0,0.0,40.792758,-73.965171,107.0,7.0,181.0
2665415.0,72662.0,1941.0,1.0,100.0,50.0,96.0,127.1,483.4,404.8,84.5,72662.0,96.0,0.0,100.0,72662.0,72662.0,11.0,0.0,40.823008,-73.95067,109.0,7.0,225.0
2665418.0,99110.0,1982.0,1.0,100.0,50.0,98.2,134.9,544.8,573.6,84.5,99110.0,58.0,0.0,100.0,99110.0,99110.0,11.0,0.0,40.823978,-73.95223,109.0,7.0,225.0
2665431.0,89199.0,1983.0,1.0,100.0,50.0,103.9,145.3,534.8,550.2,84.5,89199.0,51.0,0.0,100.0,89199.0,89199.0,14.0,0.0,40.825608,-73.951062,109.0,7.0,229.0
2665443.0,52428.0,1958.0,1.0,100.0,50.0,112.8,145.7,356.7,339.8,84.5,52428.0,45.0,0.0,100.0,52428.0,52428.0,8.0,0.0,40.837333,-73.94006,112.0,7.0,245.0
2665447.0,70384.0,1973.0,1.0,100.0,50.0,110.2,143.0,379.6,458.0,84.5,70384.0,41.0,0.0,100.0,72216.0,72216.0,8.0,0.0,40.837275,-73.94423,112.0,7.0,247.0
2665452.0,58574.0,1925.0,1.0,100.0,50.0,95.7,126.1,293.1,324.6,84.5,58574.0,68.0,0.0,100.0,58574.0,58574.0,7.0,0.0,40.844795,-73.942381,112.0,10.0,255.0
2665462.0,65136.0,1978.0,1.0,100.0,50.0,90.9,130.2,589.9,412.2,84.5,65136.0,69.0,0.0,100.0,75600.0,75600.0,26.0,0.0,40.845538,-73.936507,112.0,10.0,263.0
2665463.0,65115.0,1924.0,1.0,100.0,50.0,96.0,136.9,548.8,420.4,84.5,65115.0,52.0,0.0,100.0,73152.0,73152.0,13.0,0.0,40.849641,-73.936311,112.0,10.0,265.0
2665466.0,62667.0,1967.0,1.0,100.0,50.0,69.5,122.4,330.5,313.2,84.5,62667.0,44.0,0.0,100.0,68400.0,68400.0,18.0,0.0,40.849268,-73.936717,112.0,10.0,265.0
2665471.0,70500.0,1924.0,1.0,100.0,50.0,75.8,115.9,415.5,329.8,84.5,70500.0,61.0,0.0,100.0,70500.0,70500.0,35.0,0.0,40.862186,-73.925107,112.0,10.0,291.0
2665472.0,58198.0,1925.0,1.0,100.0,50.0,81.2,119.2,475.9,302.0,84.5,58198.0,66.0,0.0,100.0,61338.0,61338.0,9.0,0.0,40.866433,-73.921526,112.0,10.0,293.0
2665474.0,58198.0,1925.0,1.0,100.0,50.0,59.6,118.1,0.0,228.3,84.5,58198.0,66.0,0.0,100.0,61338.0,61338.0,0.0,0.0,40.866276,-73.921942,112.0,10.0,293.0
2665482.0,75000.0,1983.0,1.0,100.0,50.0,108.0,161.6,747.7,495.2,84.5,75000.0,39.0,0.0,100.0,75000.0,75000.0,18.0,0.0,40.847609,-73.938258,112.0,10.0,265.0
2665494.0,85580.0,1927.0,1.0,100.0,50.0,84.9,118.1,518.5,555.4,84.5,85580.0,71.0,0.0,100.0,85580.0,85580.0,11.0,0.0,40.866381,-73.930388,112.0,10.0,287.0
2665497.0,56083.0,1992.0,1.0,100.0,50.0,117.3,161.5,278.0,388.1,84.5,56083.0,85.0,0.0,100.0,56083.0,56083.0,23.0,0.0,40.732211,-73.986776,103.0,2.0,40.0
2665524.0,47362.0,1925.0,1.0,100.0,50.0,93.7,148.4,453.5,404.8,84.5,47362.0,85.0,0.0,100.0,64218.0,64218.0,14.0,0.0,40.732129,-73.98512,103.0,2.0,40.0
2665547.0,157850.0,1964.0,1.0,100.0,50.0,92.2,117.3,1039.2,830.9,84.5,157850.0,125.0,0.0,100.0,157850.0,157850.0,5.0,0.0,40.849424,-73.921759,205.0,16.0,20501.0
2665548.0,157625.0,1964.0,1.0,100.0,50.0,88.6,117.5,685.2,811.1,84.5,157625.0,103.0,0.0,100.0,157625.0,157625.0,5.0,0.0,40.854224,-73.917347,205.0,16.0,247.0
2665569.0,242807.0,1967.0,1.0,100.0,50.0,85.8,124.5,911.5,1256.7,84.5,242807.0,208.0,0.0,100.0,242807.0,242807.0,6.0,0.0,40.824694,-73.860859,209.0,18.0,42.0
2665580.0,386246.0,1967.0,1.0,100.0,50.0,86.3,113.3,2190.4,1927.1,84.5,386246.0,332.0,0.0,100.0,386246.0,386246.0,10.0,0.0,40.826123,-73.855483,209.0,18.0,98.0
2665592.0,242400.0,1971.0,1.0,100.0,50.0,91.1,124.0,1269.5,1349.3,84.5,242400.0,237.0,0.0,100.0,252400.0,266133.0,7.0,0.0,40.850342,-73.864431,211.0,13.0,228.0
2665600.0,320000.0,1940.0,1.0,100.0,50.0,94.1,126.3,2449.7,1757.4,84.5,320000.0,309.0,0.0,100.0,320000.0,361713.0,4.0,0.0,40.667286,-73.959905,309.0,35.0,213.0
2665622.0,78464.0,1927.0,1.0,100.0,50.0,85.0,118.9,490.9,430.1,84.5,78464.0,86.0,0.0,100.0,85200.0,85200.0,14.0,0.0,40.649865,-73.960979,314.0,40.0,51002.0
2665625.0,41339.0,1985.0,1.0,100.0,50.0,106.5,133.2,342.5,422.1,84.5,41339.0,57.0,0.0,100.0,52416.0,52416.0,4.0,0.0,40.626801,-73.96266,314.0,44.0,530.0
2665626.0,75298.0,1957.0,1.0,100.0,50.0,113.4,147.4,727.7,655.8,84.5,75298.0,118.0,0.0,100.0,75298.0,94700.0,5.0,0.0,40.754527,-73.877392,403.0,25.0,277.0
2674115.0,95155.0,1941.0,1.0,100.0,50.0,84.4,122.1,407.7,483.8,84.5,95155.0,66.0,0.0,100.0,95155.0,95155.0,13.0,0.0,40.8031,-73.963782,109.0,7.0,199.0
2677027.0,236860.0,1927.0,1.0,100.0,50.0,95.3,145.3,1310.3,1750.7,84.5,236860.0,373.0,0.0,100.0,297985.0,297985.0,7.0,0.0,40.793033,-73.974817,107.0,6.0,179.0
2677035.0,304813.0,1923.0,1.0,100.0,50.0,76.7,110.6,1974.7,1444.7,84.5,304813.0,254.0,0.0,100.0,313200.0,313200.0,11.0,0.0,40.75309,-73.969812,106.0,4.0,90.0
2677039.0,86279.0,1961.0,1.0,100.0,50.0,66.4,124.0,305.5,413.3,84.5,86279.0,85.0,0.0,100.0,91832.0,91832.0,6.0,0.0,40.755828,-73.966912,106.0,4.0,98.0
2677047.0,120000.0,1970.0,1.0,100.0,50.0,96.0,113.6,1455.5,639.5,84.5,120000.0,124.0,0.0,100.0,120000.0,120000.0,7.0,0.0,40.790327,-73.967509,107.0,6.0,177.0
2684553.0,190178.0,1931.0,1.0,100.0,50.0,77.3,122.2,921.7,998.8,84.5,190178.0,197.0,0.0,100.0,206178.0,206178.0,6.0,0.0,40.795667,-73.972895,107.0,6.0,183.0
3106220.0,454076.0,1976.0,1.0,100.0,50.0,88.8,128.9,2720.9,2442.7,84.5,454076.0,454.0,0.0,100.0,454076.0,454076.0,4.0,0.0,40.645358,-74.080729,501.0,49.0,7.0
4037640.0,85000.0,1920.0,1.0,100.0,50.0,68.8,102.3,614.9,356.3,84.5,85000.0,45.0,0.0,100.0,85000.0,85000.0,17.0,0.0,40.848053,-73.937835,112.0,10.0,265.0
4411652.0,51600.0,1903.0,1.0,100.0,50.0,97.3,142.7,268.4,304.3,84.5,51600.0,61.0,0.0,100.0,51600.0,51600.0,5.0,0.0,40.782028,-73.981747,107.0,6.0,163.0
4411653.0,61912.0,1926.0,1.0,100.0,50.0,93.0,120.6,646.8,331.4,84.5,61912.0,44.0,0.0,100.0,61912.0,61912.0,16.0,0.0,40.820935,-73.954996,109.0,7.0,22301.0
6690534.0,34045.0,1940.0,1.0,100.0,50.0,122.1,153.4,261.5,236.1,84.5,34045.0,56.0,100.0,100.0,34045.0,34045.0,9.0,0.0,40.720334,-73.9825,103.0,2.0,2201.0
6690535.0,25721.0,1915.0,1.0,100.0,50.0,76.1,123.6,323.1,124.2,84.5,25721.0,26.0,100.0,100.0,25721.0,25721.0,14.0,0.0,40.797674,-73.949262,110.0,9.0,186.0
6690536.0,32945.0,1915.0,1.0,100.0,50.0,52.3,127.5,100.3,134.5,84.5,32945.0,36.0,100.0,100.0,32945.0,32945.0,16.0,0.0,40.805224,-73.941512,111.0,9.0,198.0
6690537.0,47166.0,1910.0,1.0,100.0,50.0,86.2,112.0,349.0,234.2,84.5,47166.0,36.0,100.0,100.0,47166.0,47166.0,12.0,0.0,40.822389,-73.952589,109.0,7.0,225.0
6690538.0,44298.0,1906.0,1.0,100.0,50.0,78.4,118.6,407.9,213.3,84.5,44298.0,40.0,100.0,100.0,44298.0,44298.0,9.0,0.0,40.824013,-73.95064,109.0,7.0,229.0
6690539.0,46946.0,1920.0,1.0,100.0,50.0,85.9,119.4,359.8,238.9,84.5,46946.0,43.0,100.0,100.0,46946.0,46946.0,18.0,0.0,40.824713,-73.950416,109.0,7.0,229.0
6690540.0,41420.0,1925.0,1.0,100.0,50.0,98.5,126.0,280.0,233.5,84.5,41420.0,44.0,100.0,100.0,41420.0,41420.0,8.0,0.0,40.824811,-73.948714,109.0,7.0,229.0
6690541.0,32400.0,1910.0,1.0,100.0,50.0,93.5,121.4,220.0,174.4,84.5,32400.0,31.0,100.0,100.0,32400.0,32400.0,8.0,0.0,40.837292,-73.940064,112.0,7.0,245.0
